Card,Designators,Section,Subsection,Category,Manufacturer,Part_Number,Ecoinvent_flow,Ecoinvent_unit,Total_quantity,Total_mass_kg,Direction,Comments
4Q_output_control_card,HS1-HS6,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 242 SA 220 O,"aluminium, primary, cast alloy slab from continuous casting+metal working, average for aluminium product manufacturing",kg,0.005592,0.005592,Input,"aluminium wrought alloy used in electric components, for the metal workking rest of the world. Mass from:https://www.tme.com/sg/zh/details/fk242sa220o/san-re-qi/fisc"
4Q_output_control_card,F2,Passives,Protection,Fuse,MERSEN/FERRAZ SHAWMUT,L080464,"electronic component, passive, unspecified",kg,0.0025,0.0025,Input,
4Q_output_power_card,PCB,PCB,,AUTO,Panel of 1,EDA-05281-V1,"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.02475,0.07623,Input,Bare board
4Q_output_power_card,"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",Electromechanical,Connectors,AUTO,WURTH,7460305,"brass + metal working, average for copper product manufacturing",kg,0.016,0.016,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk"
4Q_output_power_card,J3,Electromechanical,Connectors,AUTO,3M,N3429-6302RB,"electric connector production, wire clamp",kg,0.0211603712,0.0211603712,Input,Calculated because there were different mass values depending on the website
4Q_output_power_card,R1-R4,Passives,Resistors,AUTO,Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,"resistor, metal film type, through-hole mounting",kg,0.00044502,0.00044502,Input,"Volume calculated from area and density, THT"
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN628 Art.1241397,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.000234,0.000234,Input,IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,J3 screws,Hardware,Mounting hardware,AUTO,3M,3341-5,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.00126385,0.00126385,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN5687 Art.3061582 ,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,8e-05,8e-05,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN670 Art.1253131,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,7e-05,7e-05,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,THT_PROCESS,Assembly Processes,THT,AUTO,,,"mounting, through-hole technology, Pb-free solder",m2,0.02475,,Input,
4Q_output_power_card,C1-C6,Passives,Capacitors,Paper,KEMET,P272HE102M300A or PME271YA4100MR30,"capacitor production, film type, for through-hole mounting",kg,0.0031984875,0.0031984875,Input,It is the most similar to Impregnated Paper
4Q_output_power_card,"C7, C8, C20, C21",Passives,Capacitors,Paper,KEMET,P272QE103M300A or PME271YB5100MR30,"capacitor production, film type, for through-hole mounting",kg,0.00818181,0.00818181,Input,It is the most similar to Impregnated Paper
4Q_output_power_card,"C9, C10",Passives,Capacitors,Paper,KEMET,P272SJ473M300A or PME271YD5470MR30,"capacitor production, film type, for through-hole mounting",kg,0.0297432,0.0297432,Input,
4Q_output_power_card,"D1, D2",Discrete Semiconductors,Small signal,Zener,VISHAY GENERAL SEMICONDUCTOR,BZX55C12,"diode production, glass-, for through-hole mounting",kg,0.00025,0.00025,Input,", it is THT"
4Q_output_power_card,"DCCTA, DCCTB",Modules,Sensors,Current transducer,CAEN ELS,CT-26,can_els,kg,0.6,0.6,Input,Aproximated as the mexico converter 
4Q_output_power_card,"T1,T2",Discrete Semiconductors,Power,MOSFET,INFINEON,IRFP4768,"transistor production, wired, big size, through-hole mounting",kg,0.01084,0.01084,Input,COPY FROM CASING
4Q_output_power_card,Misc1 for DCCTA and DCCTB,Hardware,Mounting hardware,CERN,EDA-05281-V1_misc1,,"epoxy resin, liquid",kg,0.02536443,0.02536443,Input,"IT IS CALCULATED BASED ON THE VOLUME AND THE DENSITY OF EPOXY, THEN IS SELECTED THE LIQUID RESINE"
4Q_power_card,PCB,PCB,,AUTO,Panel of 1,EDA-05280-V1,"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.017,0.05236,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices."
4Q_power_card,"0V_B1, 0V_B2, 15V_A1, 15V_A2, 15V_B1, 15V_B2, 24V, 4Q_I_MEAS_M, 4Q_I_MEAS_P, BC_CMD, CDE_A1, CDE_A2, CDE_B1, CDE_B2, G_A1, G_A2, G_B1, G_B2, GND, V_DC_M, V_DC_P, V_HA, V_HB",Passives,Test PIN,AUTO,VERO TECHNOLOGIES,20-2136,"electronic component, passive, unspecified",kg,0.002,0.002,Input,Passive generic
4Q_power_card,"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",Electromechanical,Connectors,AUTO,WURTH,7460305,"brass + metal working, average for copper product manufacturing",kg,0.016,0.016,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk"
4Q_power_card,J1,Electromechanical,Connectors,AUTO,TYCO ELECTRONICS,1-770166-0,"electric connector production, wire clamp",kg,0.00078,0.00078,Input,Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity/
4Q_power_card,J2,Electromechanical,Connectors,AUTO,3M,N3429-6302RB,"electric connector production, wire clamp",kg,0.0211603712,0.0211603712,Input,Calculated because there were different mass values depending on the website
4Q_power_card,IC4–IC7,Modules,DC/DC Converters,AUTO,Traco Power,TRV 1-2413M,ten,kg,0.0192,0.0192,Input,component created for TEN 6-2415N.
4Q_power_card,IC8,IC,Mixed signal,AUTO,Texas Instruments,AM26LV32IDR,"integrated circuit production, logic type",kg,0.0001853125,0.0001853125,Input,logic IC. The function matches.
4Q_power_card,"R1, R10 > R13, R61,R80 > R84",Passives,Resistors,AUTO,GENERIC,R1206_100K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000141416,0.000141416,Input,
4Q_power_card,R2 > R5,Passives,Resistors,AUTO,GENERIC,R1206_1R_1%_0.25W_200PPM,"resistor production, surface-mounted",kg,5.1424e-05,5.1424e-05,Input,
4Q_power_card,"R6 > R9, R38, R45, R48, R53, R54, R62 > R67, R71 > R77",Passives,Resistors,AUTO,GENERIC,R1206_10K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000282832,0.000282832,Input,
4Q_power_card,"R14 > R19, R22 > R27, R30 > R37, R49 > R52",Passives,Resistors,AUTO,GENERIC,R1206_10R_1%_0.25W_200PPM,"resistor production, surface-mounted",kg,0.000308544,0.000308544,Input,
4Q_power_card,"R20, R21, R28, R29R68 > R70, R78, R79",Passives,Resistors,AUTO,GENERIC,R1206_1K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000167128,0.000167128,Input,
4Q_power_card,"R41, R44",Passives,Resistors,AUTO,GENERIC,R1206_20K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,2.5712e-05,2.5712e-05,Input,
4Q_power_card,"R46, R47, R55, R56",Passives,Resistors,AUTO,GENERIC,R1206_100R_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,5.1424e-05,5.1424e-05,Input,
4Q_power_card,R57 > R60,Passives,Resistors,AUTO,GENERIC,R1206_47K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,5.1424e-05,5.1424e-05,Input,
4Q_power_card,J2 screws,Hardware,Mounting hardware,AUTO,3M,3341-5,"steel, low-alloyed + metal working, average for steel product manufacturing",kg,0.00126385,0.00126385,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination"
4Q_power_card,SMD_PROCESS,Assembly Processes,SMD,AUTO,,,"mounting, surface mount technology, Pb-free solder",m2,0.028,,Input,
4Q_power_card,THT_PROCESS,Assembly Processes,THT,AUTO,,,"mounting, through-hole technology, Pb-free solder",m2,0.028,,Input,
4Q_power_card,C2-C5,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000226304,0.000226304,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs."
4Q_power_card,C6-C25,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_200V_10%_X7R,"capacitor production, for surface-mounting",kg,0.00113152,0.00113152,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs."
4Q_power_card,"C26, C34, C50, C52–C61, C65, C68, C69, C73, C77",Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.001867008,0.001867008,Input,"MLCCs."""
4Q_power_card,"C62, C64, C66, C67,C70 > C72, C75",Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000452608,0.000452608,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs."
4Q_power_card,"C74, C76",Passives,Capacitors,MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000113152,0.000113152,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs."
4Q_power_card,"C29,C51",Passives,Capacitors,Film,WIMA,MKS4F053307H00MSSD,"capacitor production, film type, for through-hole mounting",kg,0.1223586,0.1223586,Input,
4Q_power_card,C30-C33,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,"capacitor production, electrolyte type, < 2cm height",kg,0.002831378,0.002831378,Input,Defined by the casing amd the function
4Q_power_card,"C63, C78-0C81",Passives,Capacitors,Electrolytic,VISHAY BCCOMPONENTS,MAL205253471E3,"capacitor production, electrolyte type, > 2cm height",kg,0.33,0.33,Input,In the datasheet it specifies that is electrolytic that is more than 2cm and the aproximated mass
4Q_power_card,"D1,D2",Discrete Semiconductors,Power,Schottky rectifier,ON SEMICONDUCTOR,MBR40250G,"transistor production, wired, small size, through-hole mounting",kg,0.0038,0.0038,Input,Mass data from: https://www.chipdip.am/product/mbr40250g-on-semiconductor-8002980390
4Q_power_card,"D3, D22",Discrete Semiconductors,Small signal,Zener,NEXPERIA,BZV55-B10,"diode production, glass-, for through-hole mounting",kg,3.748e-05,3.748e-05,Input,
4Q_power_card,D4–D7,Discrete Semiconductors,Small signal,Zener,Nexperia,BZV55-B15,"diode production, glass-, for surface-mounting",kg,7.496e-05,7.496e-05,Input,
4Q_power_card,"D8, D9, D16, D17, D20, D23-D26",Discrete Semiconductors,Small signal,Dual Diode,NXP SEMICONDUCTORS,BAV199,"diode production, glass-, for surface-mounting",kg,7.39125e-05,7.39125e-05,Input,
4Q_power_card,D10-D13,Discrete Semiconductors,Small signal,Switching,ON SEMICONDUCTOR,BAW56L,"diode production, glass-, for surface-mounting",kg,3.285e-05,3.285e-05,Input,mass calculated from the casing
4Q_power_card,"D14, D15, D18, D19",Discrete Semiconductors,Small signal,TVS,Semtech,SM712.TCT,"diode production, glass-, for surface-mounting",kg,3.285e-05,3.285e-05,Input,perfectly describes glass SMD diodes
4Q_power_card,D21,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,"diode production, glass-, for surface-mounting",kg,0.000102937052,0.000102937052,Input,
4Q_power_card,IC1,Modules,Sensors,Current transducer,LEM,LESR 25-NP,"insulated gate bipolar transistor, electric vehicle application",kg,0.01,0.01,Input,It is aproximated as an IGBT because of the component similarities.components mass: https://ch.farnell.com/en-CH/lem/lesr-25-np/current-sensor-voltage-85a-to/dp/3253159
4Q_power_card,IC9,Modules,Hybrid relays,Solid State Relay,Panasonic,AQV210EHA,"electronic component production, active, unspecified",kg,0.000427,0.000427,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.
4Q_power_card,IC11,IC,Mixed signal,Isolated Amplifier,Texas Instruments,AMC3330DWE,"integrated circuit production, logic type",kg,0.0001853125,0.0001853125,Input,logic IC. The function matches.
4Q_power_card,D15-D20,Discrete Semiconductors,Power,Rectifier diode,VISHAY,VS-45EPS16L-M3,"transistor production, wired, big size, through-hole mounting",kg,0.03252,0.03252,Input,Selected a transistor because the characteristics (materials and size) are more similar
4Q_power_card,"MOSFET_A1, MOSFET_A2, MOSFET_B1, MOSFET_B2, MOSFET_BC",Discrete Semiconductors,Power,MOSFET,INFINEON,IRFP4768,"transistor production, wired, big size, through-hole mounting",kg,0.0271,0.0271,Input,"Same casing, similar materials than a transistor"
4Q_power_card,REG1,IC,Analog,Power Management,ST MICROELECTRONICS,L7805ABD2T-TR,"integrated circuit production, logic type",kg,0.001566914694,0.001566914694,Input,Mass info FROM PACKAGING
4Q_power_card,REG2,IC,Analog,Power Management,ST MICROELECTRONICS,LD1086D2M33TR,"integrated circuit production, logic type",kg,0.001566914694,0.001566914694,Input,Aproximated D2PAK/A dimmensions to D2PAK becuase of high similarity
4Q_power_card,T1,Discrete Semiconductors,Small signal,BJT,NEXPERIA,MMBT3904,"transistor production, surface-mounted",kg,8.2125e-06,8.2125e-06,Input,It is a small device and is SMD
4Q_power_card,T2-T6,Discrete Semiconductors,Small signal,BJT,INFINEON,BSS119N,"transistor production, surface-mounted",kg,3.285e-05,3.285e-05,Input,DATA FROM CASING
4Q_power_card,HS1-HS2,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FFK 242 SA 220 O,"aluminium, primary, cast alloy slab from continuous casting + metal working, average for aluminium product manufacturing",kg,0.002796,0.002796,Input,"MASS FROM DATABASE, Aproximated as hardware"
analog_control,PCB,PCB,,AUTO,,PCB_ANAL_CONTROL,"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.0195,0.06006,Input,
analog_control,F1,Passives,Protection,AUTO,LITTELFUSE,0603L010,"electronic component, passive, unspecified",kg,1.8e-05,1.8e-05,Input,https://item.szlcsc.com/3527092.html?fromZone=l_b__%2522brand%2522&lcsc_vid=QFQKBFdSRVFXV1dSTlFYA1VUQlhZUAcAFgAKX1FXQAcxVlNRQlRaVF1VTlZcVjtW
analog_control,IC42,Modules,DC/DC Converters,AUTO,ANALOG DEVICES,LTM8074IY,"insulated gate bipolar transistor, electric vehicle application",kg,0.001834,0.001834,Input,"Estimated as IGBT, MASS INFO:https://www.mouser.ch/ProductDetail/Analog-Devices/LTM8074IYPBF?qs=qSfuJ%252Bfl%2Fd668LF%252B05dveg%3D%3D'"
analog_control,"TP43, TP44_ANA_CAL_0, TP44_ANA_CAL_1, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP53",Passives,Test PIN,AUTO,HARWIN,S2761-46R,"electronic component, passive, unspecified",kg,6.6e-05,6.6e-05,Input,https://www.mouser.ch/ProductDetail/Harwin/S2761-46R?qs=DaxoyN%2FvrebHvZaagZ7Fog%3D%3D
analog_control,SMD_PROCESS,Assembly Processes,SMD,AUTO,,,"mounting, surface mount technology, Pb-free solder",m2,0.0195,,Input,
analog_control,THT_PROCESS,Assembly Processes,THT,AUTO,,,"mounting, through-hole technology, Pb-free solder",m2,0.0195,,Input,
analog_control,"C1_ADC_1, C1_ADC_2, C1_ADC_3, C1_ADC_4, C1_ADC_5, C1_ADC_6, C41_ANA_CAL_0, C41_ANA_CAL_1, C146, C175, C178, C179, C180, C189",Passives,Capacitors,MLCC,GENERIC,CC0805_10UF_25V_10%_X5R,"capacitor production, for surface-mounting",kg,0.000182,0.000182,Input,mass from casing
