Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,,,,,,,,,,,,,,,
"IC18, IC19",TSSOP38,IC,Mixed-Signal,Interface,TEXAS INSTRUMENTS,SN65MLVD082DGG,"8-Channel Half-Duplex M-LVDS Line Transceiver",2,kg,0.0002626,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-38; volume 9.7×4.4×1 = 0.0427 cm³, mass ~0.0634 g.",,,,,,,,,,,,,,,
"IC20, IC21, IC76, IC77, IC78, IC79, IC81",SOIC8,IC,Optoelectronics,Optocoupler,BROADCOM,HCPL-063L-000E,"Dual-Channel, High Speed LVTTL Compatible 3.3 Volt Optocoupler",7,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from casing,,,,,,,,,,,,,,,
"IC25, IC32, IC34, IC35, IC36, IC37, IC39, IC40",VSON8,IC,Digital,Interface,TEXAS INSTRUMENTS,SN65HVD78DRB,"3.3-V Supply RS-485 With IEC ESD protection, 50Mbps",8,kg,0.000024,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"https://www.mouser.ch/ProductDetail/Texas-Instruments/SN65HVD78DRBR?qs=uuvYgmlZVOvZX%2Fzgsy5uJA%3D%3D",,,,,,,,,,,,,,,
"IC26, IC27, IC28, IC29, IC30, IC31",VQFN16,IC,Digital,Interface,TEXAS INSTRUMENTS,AM26LV31EIRGY,"Low-Voltage High-Speed Quadruple Differential Line Driver with ±15-kV IEC ESD Protection",6,kg,0.0000372,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,,,,,,,,,,,,,,,
IC41,LFCSP20,IC,Analog,Power Management,ANALOG DEVICES,ADP5071ACP,"2 A/1.2 A DC-to-DC Switching Regulator with Independent Positive and Negative Outputs",1,kg,0.0000584,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"LFCSP-20 4x4mm; volume 0.012 cm³, mass ~0.02 g.",,,,,,,,,,,,,,,
IC43,TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC14APW,"Hex Schmitt-Trigger Inverter",1,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-14.",,,,,,,,,,,,,,,
"IC44_DIG_IND_IN_1, IC44_DIG_IND_IN_2, IC44_DIG_IND_IN_3, IC44_DIG_IND_IN_4, IC44_DIG_IND_IN_5, IC44_DIG_IND_IN_6, IC44_DIG_IND_IN_7, IC44_DIG_IND_IN_8, IC44_DIG_IND_IN_9, IC44_DIG_IND_IN_10, IC44_DIG_IND_IN_11, IC44_DIG_IND_IN_12, IC44_DIG_IND_IN_13, IC44_DIG_IND_IN_14",TSSOP24,IC,Mixed-Signal,Isolated Digital Input,TEXAS INSTRUMENTS,ISO1228DFB,"Eight-Channel Isolated Digital Input with Current Limit and Diagnostics",14,kg,0.00015,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-24; volume 7.8×4.4×1 = 0.0343 cm³, mass ~0.053 g.",,,,,,,,,,,,,,,
"IC45, IC46, IC47, IC85",VQFN14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC07ARGY,"Hex Buffer with Open-Drain Outputs",4,kg,0.0000322,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,,,,,,,,,,,,,,,
IC51,LGA25,IC,Analog,Power Management,ANALOG DEVICES,LTM4623EY,"4V-20V to 0.6V-5.5V, Iout 3A Step-Down DC/DC uModule Regulator",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"https://www.mouser.ch/ProductDetail/Analog-Devices/LTM4623EYPBF?qs=oahfZPh6IAKdnYwXJmocfg%3D%3D",,,,,,,,,,,,,,,
IC52,SOIC8,IC,Memory,EEPROM,MICROCHIP,24AA025E48-I/SN,"1.7V-5.5V, 2K I2C™ Serial EEPROMs with EUI-48™ Node Identity",1,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from casing,,,,,,,,,,,,,,,
"IC53, IC54, IC55, IC58, IC59",UQFN10,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AVC2T245RSWR,"Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs",5,kg,0.000031,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"UQFN-10; volume 0.0015 cm³, mass ~0.0024 g.",,,,,,,,,,,,,,,
"IC56, IC57",VSSOP8,IC,Mixed-Signal,Voltage Translator,TEXAS INSTRUMENTS,PCA9306DCUR,"Dual Bidirectional I2C Bus and SMBus Voltage-Level Translator",2,kg,0.0000096,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"VSSOP-8; mass ~0.0116 g.",,,,,,,,,,,,,,,
"IC61, IC62, IC63, IC64, IC65",VSSOP10,IC,Mixed-Signal,Power Monitor,TEXAS INSTRUMENTS,INA226AIDGST,"High-or Low Side Measurement, Bi-Directional Current/Power Monitor with I2C Interface",5,kg,0.0000237,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"VSSOP-10; same mass as VSSOP-8 (0.0116g).",,,,,,,,,,,,,,,
"IC66, IC68",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74HCS4075PW,"Triple 3-Input OR Gate with Schmitt-Trigger Inputs",2,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-14.",,,,,,,,,,,,,,,
"IC67, IC71, IC72, IC73, IC74",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC74APWT,"Dual Positive-Edge-Triggered D-Type Flip Flop with Clear And Reset",5,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-14.",,,,,,,,,,,,,,,
J1,,Electromechanical,Connectors,High-Speed I/O,TE CONNECTIVITY,1-2007637-5,"2x2 Press Fit SFP+ Cage and PT Connectors Assembly with EMI Springs",1,kg,0.0162,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"https://www.mouser.ch/ProductDetail/TE-Connectivity/1-2007637-5?qs=qnhXEskkPyvt9BrFBsiKkQ%3D%3D",,,,,,,,,,,,,,,
"J2, J3, J4",,Electromechanical,Connectors,High-Density Array,SAMTEC,ADF6-100-03.5-L-4-2-A,"400 contacts (4 rows abcd) High-Density Slim Body Arrays Female Connector without Alignment Pin",3,kg,0.0738,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"https://www.tme.com/ph/en/details/adf6-60-03.5-l-4-2/board-to-board-connectors/samtec/adf6-60-03-5-l-4-2-a-tr/",,,,,,,,,,,,,,,
J5,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls, Right Angle Header",1,kg,0.015336,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"http://mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D",,,,,,,,,,,,,,,
"J6, J13, J14",,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls, Right Angle Header",3,kg,0.015169,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D,,,,,,,,,,,,,,,
J7,,Electromechanical,Connectors,Modular Jack,ABRACON,ARJM11D7-502-AB-EW2,"DC-10MBd Versatile Link Fiber Optic Analog Transmitter for 1 mm POF and 200 µm PCS",1,kg,0.010248,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"RJ45 with integrated magnetics; mass ~12g.",,,,,,,,,,,,,,,
J8,,Electromechanical,Connectors,USB,KYCON,KUSBX-SL-CS1N14-B,"USB 2.0 Type C Receptacle, High Temp., Flag Style Through Hole 14 Pin, Black",1,kg,0.002841,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"Mass from typical USB-C connectors (~3g).",,,,,,,,,,,,,,,
J9,,Electromechanical,Connectors,PicoBlade,MOLEX,530480310,"1.25mm Pitch, PicoBlade PCB Header, Right-Angle, Through Hole, Tin (Sn) Plating, Friction Lock, 3 Circuits, Tray, 2.30mm PC Tail Length",1,kg,0.0009276,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,"https://www.mouser.ch/ProductDetail/Molex/53048-0310?qs=zXrbR4Jv0OfUlEeVnlaifA%3D%3D",,,,,,,,,,,,,,,
J10,,Electromechanical,Connectors,PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,kg,0.000279,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,"Mass estimated (~1g).",,,,,,,,,,,,,,,
J11,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,kg,0.0015,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"Mass estimated (~2g).",,,,,,,,,,,,,,,
J12,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,"Mass estimated (~1.5g).",,,,,,,,,,,,,,,
"L1, L2, L3",0603,Passives,Inductors,Ferrite Bead,MURATA,BLM18SG121TN1D,"SMD EMIFIL Suppression Chip Ferrite Bead",3,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",,,,,,,,,,,,,,,
"L4, L5, L6, L7, L13, L14, L15, L16, L17",0603,Passives,Inductors,Ferrite Bead,MURATA,BLM18SG221TN1,"SMD EMIFIL Suppression Chip Ferrite Bead",9,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",,,,,,,,,,,,,,,
L8,,Passives,Inductors,,WURTH ELEKTRONIK,"7447797180",1,2,kg,0.002,YES,,,,,,,,,EcoInvent,"inductor production, ring core choke type",kg,"Input",The ecoinvent model is of a 6.3 g so is closer than the other model. https://www.mouser.mx/ProductDetail/Wurth-Elektronik/7447797180?qs=J4sk5G6CMwZAcdfQztcYmw%3D%3D,,,,,,,,,,,,,,,
L9,,Passives,Inductors,,WURTH ELEKTRONIK,"7447798221",1,2,kg,0.002,YES,,,,,,,,,EcoInvent,"inductor production, ring core choke type",kg,"Input",The ecoinvent model is of a 6.3 g so is closer than the other model. https://www.mouser.mx/ProductDetail/Wurth-Elektronik/7447797180?qs=J4sk5G6CMwZAcdfQztcYmw%3D%3D,,,,,,,,,,,,,,,
"L10, L12, L18, L19",0805,Passives,Inductors,Ferrite Bead,WURTH,742792040,"SMD EMI Suppression Chip Ferrite Bead (WE-CBF Series)",4,kg,,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"MASS FROM CASING",,,,,,,,,,,,,,,
"L11, L20, L21",0805,Passives,Inductors,Ferrite Bead,WURTH,742792031,"SMD EMI Suppression Chip Ferrite Bead (WE-CBF Series)",3,kg,,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"MASS FROM CASING",,,,,,,,,,,,,,,
"LD1, LD2, LD3, LD4",,Discrete Semiconductors,Optoelectronics,LED,BROADCOM,HSMF-A203-A00J1,"Bicolor Red/Emerald Green Surface Mount LED",4,kg,0.000060,YES,,,,,,,,,EcoInvent,"light emitting diode production",kg,Input,"https://www.mouser.mx/ProductDetail/Broadcom-Avago/HSMF-A203-A00J1?qs=YDL0qNrpDT4d43ReqF2t1Q%3D%3D",,,,,,,,,,,,,,,
"LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12",0603,Discrete Semiconductors,Optoelectronics,LED,LITEON,LTST-C193KGKT-5A,"Extra Thin SMD Chip LED, Ultra Bright AlInGaP Green, Lens Water Clear",8,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,"light emitting diode production",kg,Input,"mass from casing",,,,,,,,,,,,,,,
LP5,,Hardware,Mounting Hardware,,BIVAR,RLP4-200-500,"2-Way in One Rows, Right Angle 2.8mm Diameter LED Light Pipe",1,kg,0.00129,YES,,,,,,,,,EcoInvent,"polycarbonate + injection moulding",kg,Input,"plastic part. mass in: https://www.mouser.mx/ProductDetail/Bivar/RLP4-200-500?qs=DTo5u7NUXXGTGKnPVKmOcQ%3D%3D",,,,,,,,,,,,,,,
"PB1, PB2, PB3",,Electromechanical,Switches,,OMRON,B3U-1100P,"3x2.5mm Ultra-Small Tactile SPST Pushbutton Switch (with Ground Terminal),Contact Rating 50mA 12VDC, B3U Series",3,kg,0.000022,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,"mass: https://www.mouser.mx/ProductDetail/Omron-Electronics/B3U-1100P?qs=q8ECNkb1%2FvMiNWwbhMFu4g%3D%3D",,,,,,,,,,,,,,,
Q1,,Passives,Crystals,Quartz,TXC,7M-12.000MAAJ-T,"±30ppm 18pF -20°C to +70°C  4 Pins, 3.2x2.5X0.8mm, SMD Sealing Crystal, 7M Series",1,kg,0.000016,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,"Mass from volume (0.0064 cm³) × quartz/ceramic density (2.5 g/cm³) + metal_extra 0.001 = 0.017 g.",,,,,,,,,,,,,,,
"R1, R2, R40, R41, R42, R43, R44, R45, R119, R120, R121, R122, R123, R124, R125, R126, R216, R217, R218, R219, R220, R221, R222, R223",0402,Passives,Resistors,Thick Film,GENERIC,R0402_56R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor, 56Ω, 1%, 0.0625W",24,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Mass from volume (0.000175 cm³) × 3.5 g/cm³ + metal_extra 0.0002 = 0.0008125 g. Generic 0402 resistor.",,,,,,,,,,,,,,,
"R3, R4, R5, R6, R7, R8, R11, R12, R13, R14, R35_CONTACT_OUT_0, R35_CONTACT_OUT_1, R35_CONTACT_OUT_2, R35_CONTACT_OUT_3, R35_CONTACT_OUT_4, R35_CONTACT_OUT_5, R48, R49, R51, R68, R71_DIG_IND_IN_1, R71_DIG_IND_IN_2, R71_DIG_IND_IN_3, R71_DIG_IND_IN_4, R71_DIG_IND_IN_5, R71_DIG_IND_IN_6, R71_DIG_IND_IN_7, R71_DIG_IND_IN_8, R71_DIG_IND_IN_9, R71_DIG_IND_IN_10, R71_DIG_IND_IN_11, R71_DIG_IND_IN_12, R71_DIG_IND_IN_13, R71_DIG_IND_IN_14, R73_DIG_IND_IN_1, R73_DIG_IND_IN_2, R73_DIG_IND_IN_3, R73_DIG_IND_IN_4, R73_DIG_IND_IN_5, R73_DIG_IND_IN_6, R73_DIG_IND_IN_7, R73_DIG_IND_IN_8, R73_DIG_IND_IN_9, R73_DIG_IND_IN_10, R73_DIG_IND_IN_11, R73_DIG_IND_IN_12, R73_DIG_IND_IN_13, R73_DIG_IND_IN_14, R74_DIG_IND_IN_1, R74_DIG_IND_IN_2, R74_DIG_IND_IN_3, R74_DIG_IND_IN_4, R74_DIG_IND_IN_5, R74_DIG_IND_IN_6, R74_DIG_IND_IN_7, R74_DIG_IND_IN_8, R74_DIG_IND_IN_9, R74_DIG_IND_IN_10, R74_DIG_IND_IN_11, R74_DIG_IND_IN_12, R74_DIG_IND_IN_13, R74_DIG_IND_IN_14, R152, R153, R154, R157, R158, R159, R160, R181, R184, R185, R187, R193, R194, R224_P24V_FUSE1, R224_P24V_FUSE2, R224_P24V_FUSE3, R224_P24V_FUSE4, R224_P24V_FUSE5, R224_P24V_FUSE6, R224_P24V_FUSE7, R224_P24V_FUSE8, R225",0402,Passives,Resistors,Thick Film,GENERIC,R0402_1K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",84,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Same 0402 resistor mass.",,,,,,,,,,,,,,,
R9,0402,Passives,Resistors,Thick Film,GENERIC,R0402_12K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R10, R15",0402,Passives,Resistors,Thick Film,GENERIC,R0402_2K2_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R172, R177",0402,Passives,Resistors,Thick Film,GENERIC,R0402_4K7_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",35,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R32_DIG_FAST_IN_CCT_0, R32_DIG_FAST_IN_CCT_1, R32_DIG_FAST_IN_CCT_2, R32_DIG_FAST_IN_CCT_3, R32_DIG_FAST_IN_CCT_4, R32_DIG_FAST_IN_CCT_5, R32_DIG_FAST_IN_CCT_6, R32_DIG_FAST_IN_CCT_7, R32_DIG_FAST_IN_CCT_8, R32_DIG_FAST_IN_CCT_9, R32_DIG_FAST_IN_CCT_10, R32_DIG_FAST_IN_CCT_11, R32_DIG_FAST_IN_CCT_12, R32_DIG_FAST_IN_CCT_13",0402,Passives,Resistors,Thick Film,GENERIC,R0402_100R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",14,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R33_CONTACT_OUT_0, R33_CONTACT_OUT_1, R33_CONTACT_OUT_2, R33_CONTACT_OUT_3, R33_CONTACT_OUT_4, R33_CONTACT_OUT_5",0402,Passives,Resistors,Thick Film,GENERIC,R0402_430R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",6,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R34_CONTACT_OUT_0, R34_CONTACT_OUT_1, R34_CONTACT_OUT_2, R34_CONTACT_OUT_3, R34_CONTACT_OUT_4, R34_CONTACT_OUT_5",0805,Passives,Resistors,Thick Film,GENERIC,R0805_1R1_1%_0.125W_200PPM,"General Purpose Thick Film Chip Resistor",6,kg,,NO,2.0,1.25,0.5,,3,4,0.001,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0805 resistor; mass from volume (0.00125 cm³) × 3.5 + metal_extra 0.001 = 0.005375 g.",,,,,,,,,,,,,,,
"R36, R37, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215",0402,Passives,Resistors,Thick Film,GENERIC,R0402_1K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",18,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R38_DIG_FAST_IN_CCT_0, R38_DIG_FAST_IN_CCT_1, R38_DIG_FAST_IN_CCT_2, R38_DIG_FAST_IN_CCT_3, R38_DIG_FAST_IN_CCT_4, R38_DIG_FAST_IN_CCT_5, R38_DIG_FAST_IN_CCT_6, R38_DIG_FAST_IN_CCT_7, R38_DIG_FAST_IN_CCT_8, R38_DIG_FAST_IN_CCT_9, R38_DIG_FAST_IN_CCT_10, R38_DIG_FAST_IN_CCT_11, R38_DIG_FAST_IN_CCT_12, R38_DIG_FAST_IN_CCT_13",0402,Passives,Resistors,Thick Film,GENERIC,R0402_470R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",14,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R39_DIG_FAST_IN_CCT_0, R39_DIG_FAST_IN_CCT_1, R39_DIG_FAST_IN_CCT_2, R39_DIG_FAST_IN_CCT_3, R39_DIG_FAST_IN_CCT_4, R39_DIG_FAST_IN_CCT_5, R39_DIG_FAST_IN_CCT_6, R39_DIG_FAST_IN_CCT_7, R39_DIG_FAST_IN_CCT_8, R39_DIG_FAST_IN_CCT_9, R39_DIG_FAST_IN_CCT_10, R39_DIG_FAST_IN_CCT_11, R39_DIG_FAST_IN_CCT_12, R39_DIG_FAST_IN_CCT_13",0402,Passives,Resistors,Thin Film,GENERIC,R0402_10K_0.1%_0.0625W_25PPM,"Precision Surface Mount Resistor",14,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402 thin film; mass same as thick film.",,,,,,,,,,,,,,,
"R46, R47, R190_P24V_FUSE1, R190_P24V_FUSE2, R190_P24V_FUSE3, R190_P24V_FUSE4, R190_P24V_FUSE5, R190_P24V_FUSE6, R190_P24V_FUSE7, R190_P24V_FUSE8",0402,Passives,Resistors,Thick Film,GENERIC,R0402_82K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",10,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R50,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated; mass 0.",,,,,,,,,,,,,,,
R52,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated.",,,,,,,,,,,,,,,
R53,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated.",,,,,,,,,,,,,,,
R54,0402,Passives,Resistors,Thick Film,GENERIC,R0402_220K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R55,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated.",,,,,,,,,,,,,,,
R56,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated.",,,,,,,,,,,,,,,
R57,0402,Passives,Resistors,Thick Film,GENERIC,R0402_NO-VALUE,"Reserved Footprint For a 0402 (1005) Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"Not populated.",,,,,,,,,,,,,,,
"R58, R59, R60, R61, R62, R63, R64, R65, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118",0402,Passives,Resistors,Thick Film,GENERIC,R0402_10K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",48,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
