Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
"R34, R45, R46, R54, R55",1206,Passives,Resistors,kg,kg,6.428e-05,6.428e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",5,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,The dataset explicitly represents surface‑mounted resistors.,35,1,16,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
J1,,Electromechanical,Connectors,kg,kg,0.00245594672,0.00245594672,"electric connector production, wire clamp",AUTO,Wieland,25.161.0353.0,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",1,0.00245594672,NO,16.09,10.16,12,,1.12,1.18,0.2,,EcoInvent,Input,Exact technological match: “wire clamp” directly describes the screw‑clamp connection.,36,1,17,CALCULATED,1.9616928,2.455947,1.15,MIN_MAX_AVG,
J2,,Electromechanical,Connectors,kg,kg,0.001983,0.001983,"electric connector production, peripheral type buss",AUTO,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.001983,YES,,,,,,,,,EcoInvent,Input,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function.,37,1,17,DATASHEET_QTY_KG,,1.983,,MISSING,
J3,,Electromechanical,Connectors,kg,kg,0.01818128704,0.01818128704,"electric connector production, wire clamp",AUTO,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,0.01818128704,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,Input,Calculated because there were different mass values depending on the website,38,1,17,CALCULATED,10.4866336,18.181287,1.4,MIN_MAX_AVG,
B8-B32,,Passives,Test PIN,kg,kg,0.002,0.002,"electronic component, passive, unspecified",AUTO,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,8e-05,YES,,,,,,,,,EcoInvent,Input,Chossen passive generic because it includes thins kind of components and there is not another alternative.,39,1,18,DATASHEET_QTY_KG,,0.08,,MISSING,
TR1,,Magnetics,Current sensing,kg,kg,0.0095,0.0095,"transformer production, low voltage use",AUTO,CERN,HCR6BFW,HF Current transformer,1,0.0095,YES,,,,,,,,,EcoInvent,Input,"The HCR6BFW is a high‑frequency current transformer, which falls under ""low voltage use"" .",40,1,19,DATASHEET_QTY_KG,,9.5,,MISSING,
J3 screws,,Hardware,Mounting hardware,kg,kg,0.00126385,0.00126385,"steel, low-alloyed + metal working, average for steel product manufacturing",AUTO,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,0.000631925,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination",41,1,20,CALCULATED,0.0805,0.631925,7.85,MIN_MAX_AVG,
igbt_spacer,,Mechanical components,spacer,kg,kg,0.004,0.004,"copper, cathode + metal working, average for copper product manufacturing",AUTO,,,,1,0.004,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,42,1,21,DATASHEET_QTY_KG,,4.0,,MISSING,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.0168,,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.0168,YES,160,105,,,,,,,EcoInvent,Input,,43,1,22,AREA_LW_MM_TO_M2,,,,,
"IGBT_A1, A2, B1, B2",TO-247,Discrete Semiconductors,Power,kg,kg,0.02168,0.02168,"insulated gate bipolar transistor production, for electric vehicle applications",IGBT,Infineon,IKW25N120H3,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,4,0.00542,YES,,,,,,,,,EcoInvent,Input,"This dataset is IGBT-specific, based on direct inspection of a commercial device, ensuring high technological representativeness. The IGBT analyzed (1200V, 50A) is used in power applications (electric vehicles, inverters), so the technology matches perfectly.",2,2,2,DATASHEET_QTY_KG,,5.42,,MISSING,
"IC1, IC2",,IC,Analog,kg,kg,0.00075384375,0.00075384375,"integrated circuit production, logic type",Power management,Infineon,2ED3141MC12L,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,2,0.000376921875,NO,10.3,7.5,2.35,,1.2,1.3,0.15,,EcoInvent,Input,"The Dual‑Channel Isolated Gate Driver IC is a mixed‑signal CMOS/BiCMOS integrated circuit. As no specific LCI exists for gate‑driver or mixed‑signal ICs,this dataset is selected.",3,3,3,CALCULATED,0.1815375,0.376922,1.25,MIN_MAX_AVG,
REG1,D2PAK,IC,Analog,kg,kg,0.001566914694,0.001566914694,"integrated circuit production, logic type",Power management,STMicroelectronics,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,0.001566914694,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,Input,"This means its production process aligns with IC manufacturing. The dataset includes packaging, and that's what matters for the bill of materials and assembly impacts.",5,3,3,CALCULATED,0.479611755,1.566915,1.25,MIN_MAX_AVG,
IC8,SOIC16,IC,Digital,kg,kg,0.0001853125,0.0001853125,"integrated circuit production, logic type",Interface,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,Input,"logic IC, the packaging technology (die attach, wire bonding) is relevant. The function matches.",7,4,6,CALCULATED,0.06825,0.185313,1.25,MIN_MAX_AVG,
D1–D4,SOD-80C,Discrete Semiconductors,Small signal,kg,kg,7.496e-05,7.496e-05,"diode production, glass-, for surface-mounting",Zener Diodes,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),9,5,8,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
"D5, D6",SOD-80C,Discrete Semiconductors,Small signal,kg,kg,3.748e-05,3.748e-05,"diode production, glass-, for surface-mounting",Zener Diodes,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,2,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),10,5,8,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
D7,DO-214AA,Discrete Semiconductors,Small signal,kg,kg,0.000102937052,0.000102937052,"diode production, glass-, for surface-mounting",TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,"""it is SMD"",",11,6,9,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,
D8–D11,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,3.285e-05,3.285e-05,"diode production, glass-, for surface-mounting",TVS,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),12,6,9,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
LD1,,Discrete Semiconductors,Optoelectronics,kg,kg,0.00035,0.00035,light emitting diode production,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,0.00035,YES,,,,,,,,,EcoInvent,Input,Represents a 5mm through‑hole LED (your LD1 is SMD). Default weight assumption: 0.35 g per LED,13,7,10,DATASHEET_QTY_KG,,0.35,,MISSING,
T1,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,8.2125e-06,8.2125e-06,"transistor production, surface-mounted",Bipolar transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,Specific for surface‑mounted transistors; matches SOT‑23 package.,14,8,11,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
T2–T7,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,4.9275e-05,4.9275e-05,"transistor production, surface-mounted",MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",6,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.,15,9,12,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"C1, C2",,Passives,Capacitors,kg,kg,0.003645,0.003645,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,0.0018225,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,Input,,16,10,13,CALCULATED,1.35,1.8225,1.35,MIN_MAX_AVG,
C15,,Passives,Capacitors,kg,kg,0.0340632,0.0340632,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKP4J043307F00MSSD,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",1,0.0340632,NO,19,32,41.5,,1.3,1.4,0,,EcoInvent,Input,,18,10,13,CALCULATED,25.232,34.0632,1.35,MIN_MAX_AVG,
"C16, C17",,Passives,Capacitors,kg,kg,0.05524065,0.05524065,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKP4O141007E00MSSD,"1 µF, ±20%, 1000VDC/400VAC, MKP4",2,0.027620325,NO,17,29,41.5,,1.3,1.4,0,,EcoInvent,Input,,19,10,13,CALCULATED,20.4595,27.620325,1.35,MIN_MAX_AVG,
"C26, C44",,Passives,Capacitors,kg,kg,0.002673,0.002673,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",2,0.0013365,NO,18,5,11,,1.3,1.4,0,,EcoInvent,Input,,22,10,13,CALCULATED,0.99,1.3365,1.35,MIN_MAX_AVG,
"C3, C4",,Passives,Capacitors,kg,kg,0.003645,0.003645,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,0.0018225,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,Input,,23,10,13,CALCULATED,1.35,1.8225,1.35,MIN_MAX_AVG,
C5–C8,,Passives,Capacitors,kg,kg,0.003861,0.003861,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),4,0.00096525,NO,13,5,11,,1.3,1.4,0,,EcoInvent,Input,,24,10,13,CALCULATED,0.715,0.96525,1.35,MIN_MAX_AVG,
"C13, C14",,Passives,Capacitors,kg,kg,0.0885195,0.0885195,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),2,0.04425975,NO,20,39.5,41.5,,1.3,1.4,0,,EcoInvent,Input,,25,10,13,CALCULATED,32.785,44.25975,1.35,MIN_MAX_AVG,
C18,,Passives,Capacitors,kg,kg,0.01658475,0.01658475,"capacitor production, film type, for through-hole mounting",MLCC,WIMA,MKP4F044706F00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),1,0.01658475,NO,15,26,31.5,,1.3,1.4,0,,EcoInvent,Input,,26,10,13,CALCULATED,12.285,16.58475,1.35,MIN_MAX_AVG,
C9–C12,1206,Passives,Capacitors,kg,kg,0.000226304,0.000226304,"capacitor production, for surface-mounting",Film,GENERIC,CC1206_1NF_50V_10%_X7R,,4,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",17,11,14,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C20, C21",1206,Passives,Capacitors,kg,kg,0.000113152,0.000113152,"capacitor production, for surface-mounting",Film,Generic,CC1206_220PF_50V_5%_NP0,"220 pF, ±5%, 50V, C0G/NP0, 1206",2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",20,11,14,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
C22–C25,E,Passives,Capacitors,kg,kg,0.002831378,0.002831378,"capacitor production, electrolyte type, < 2cm height",Film,Generic,CTE7343-43_10UF_35V_10%_LESR0200E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",4,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,Input,"Tantalum capacitors are electrolytic. The small size matches SMD tantalum chips. Not perfect, but the only electrolytic option available.",21,11,14,CALCULATED,0.128699,0.707844,5.5,MIN_MAX_AVG,
"C27–C43, C45–C54",1206,Passives,Capacitors,kg,kg,0.001527552,0.001527552,"capacitor production, for surface-mounting",Film,GENERIC,CC1206_100NF_50V_10%_X7R,,27,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",28,11,14,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
C19,,Passives,Capacitors,kg,kg,0.0040068,0.0040068,"capacitor production, film type, for through-hole mounting",Tantalum,TDK,B32653A6224J000,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),1,0.0040068,NO,7,16,26.5,,1.3,1.4,0,,EcoInvent,Input,,27,12,15,CALCULATED,2.968,4.0068,1.35,MIN_MAX_AVG,
