Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
LD1,,Discrete Semiconductors,Optoelectronics,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,kg,0.00035,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input,Represents a 5mm through‑hole LED (your LD1 is SMD). Default weight assumption: 0.35 g per LED
T1,SOT23-3,Discrete Semiconductors,Small signal,Bipolar transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors; matches SOT‑23 package.
T2–T7,SOT23-3,Discrete Semiconductors,Small signal,MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",6,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.
"C1, C2",,Passives,Capacitors,MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,kg,,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
C9–C12,1206,Passives,Capacitors,Film,GENERIC,CC1206_1NF_50V_10%_X7R,,4,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are."
C15,,Passives,Capacitors,MLCC,WIMA,MKP4J043307F00MSSD,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",1,kg,,NO,19,32,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
"C16, C17",,Passives,Capacitors,MLCC,WIMA,MKP4O141007E00MSSD,"1 µF, ±20%, 1000VDC/400VAC, MKP4",2,kg,,NO,17,29,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
"C20, C21",1206,Passives,Capacitors,Film,Generic,CC1206_220PF_50V_5%_NP0,"220 pF, ±5%, 50V, C0G/NP0, 1206",2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are."
C22–C25,E,Passives,Capacitors,Film,Generic,CTE7343-43_10UF_35V_10%_LESR0200E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",4,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,"Tantalum capacitors are electrolytic. The small size matches SMD tantalum chips. Not perfect, but the only electrolytic option available."
"C26, C44",,Passives,Capacitors,MLCC,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",2,kg,,NO,18,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
"C3, C4",,Passives,Capacitors,MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,kg,,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
C5–C8,,Passives,Capacitors,MLCC,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),4,kg,,NO,13,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
"C13, C14",,Passives,Capacitors,MLCC,WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),2,kg,,NO,20,39.5,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
C18,,Passives,Capacitors,MLCC,WIMA,MKP4F044706F00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),1,kg,,NO,15,26,31.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
C19,,Passives,Capacitors,Tantalum,TDK,B32653A6224J000,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),1,kg,,NO,7,16,26.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,
"C27–C43, C45–C54",1206,Passives,Capacitors,Film,GENERIC,CC1206_100NF_50V_10%_X7R,,27,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are."
"R1–R4, R31, R35, R47, R48, R60",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",9,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R5–R9, R41, R44, R53, R56–R59",1206,Passives,Resistors,,Generic,R1206_47K_1%_0.25W_100PPM,"47 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",12,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R10, R11, R15–R30",1206,Passives,Resistors,,Generic,R1206_20R_1%_0.25W_100PPM,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",18,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R12, R49–R52",1206,Passives,Resistors,,Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R13, R14, R32, R36–R40, R42, R43",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
R33,1206,Passives,Resistors,,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R34, R45, R46, R54, R55",1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
J1,,Electromechanical,Connectors,,Wieland,25.161.0353.0,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",1,kg,,NO,16.09,10.16,12,,1.12,1.18,0.2,,EcoInvent,"electric connector production, wire clamp",kg,Input,Exact technological match: “wire clamp” directly describes the screw‑clamp connection.
J2,,Electromechanical,Connectors,,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function.
J3,,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website
B8-B32,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Chossen passive generic because it includes thins kind of components and there is not another alternative.
TR1,,Magnetics,Current sensing,,CERN,HCR6BFW,HF Current transformer,1,kg,0.0095,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input,"The HCR6BFW is a high‑frequency current transformer, which falls under ""low voltage use"" ."
J3 screws,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"steel, low-alloyed + metal working, average for steel product manufacturing",kg,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination"
igbt_spacer,,Mechanical components,spacer,,,,,1,kg,0.004,YES,,,,,,,,,Ecoinvent,"copper, cathode + metal working, average for copper product manufacturing",kg,Input,"Explain in the documentation"
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,
