Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
"R14 > R19, R22 > R27, R30 > R37, R49 > R52",1206,Passives,Resistors,kg,kg,0.000308544,0.000308544,"resistor production, surface-mounted",AUTO,GENERIC,R1206_10R_1%_0.25W_200PPM,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,24,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,31,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R20, R21, R28, R29R68 > R70, R78, R79",1206,Passives,Resistors,kg,kg,0.000167128,0.000167128,"resistor production, surface-mounted",AUTO,GENERIC,R1206_1K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,13,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,32,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R41, R44 ",1206,Passives,Resistors,kg,kg,2.5712e-05,2.5712e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_20K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,2,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,33,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R46, R47, R55, R56",1206,Passives,Resistors,kg,kg,5.1424e-05,5.1424e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_100R_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,4,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,34,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
R57 > R60,1206,Passives,Resistors,kg,kg,5.1424e-05,5.1424e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_47K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,4,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,35,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
J2 screws,,Hardware,Mounting hardware,kg,kg,0.00126385,0.00126385,"market for steel, low-alloyed + market for metal working, average for metal product manufacturing",AUTO,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,0.000631925,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination",41,1,24,CALCULATED,0.0805,0.631925,7.85,MIN_MAX_AVG,
SMD_PROCESS,,Assembly Processes,SMD ,m2,m2,0.028,,"mounting, surface mount technology, Pb-free solder",AUTO,,,Assambly SMD components in the PCB,1,0.028,YES,160,175,,,,,,,EcoInvent,Input,,42,1,25,AREA_LW_MM_TO_M2,,,,,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.028,,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.028,YES,160,175,,,,,,,EcoInvent,Input,,43,1,26,AREA_LW_MM_TO_M2,,,,,
C2-C5,1206,Passives,Capacitors ,kg,kg,0.000226304,0.000226304,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,4,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",4,2,4,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
C6-C25,1206,Passives,Capacitors ,kg,kg,0.00113152,0.00113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_100NF_200V_10%_X7R,±10% 200V X7R SMD Ceramic Chip Capacitor,20,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",5,2,4,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C26, C34, C50, C52–C61, C65, C68, C69, C73, C77",1206,Passives,Capacitors ,kg,kg,0.001867008,0.001867008,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,33,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"MLCCs.""",6,2,4,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C62, C64, C66, C67,C70 > C72, C75",1206,Passives,Capacitors ,kg,kg,0.000452608,0.000452608,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,8,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",9,2,4,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C74, C76",1206,Passives,Capacitors ,kg,kg,0.000113152,0.000113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",11,2,4,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C29,C51",,Passives,Capacitors ,kg,kg,0.1223586,0.1223586,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKS4F053307H00MSSD,±20% 250VDC/160VAC Metallized Polyester Film Capacitor (MKS4),2,0.0611793,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,Input,,7,3,5,CALCULATED,45.318,61.1793,1.35,MIN_MAX_AVG,
C30-C33,E,Passives,Capacitors ,kg,kg,0.002831378,0.002831378,"capacitor production, electrolyte type, < 2cm height",Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,4,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,Input,Defined by the casing amd the function,8,4,6,CALCULATED,0.128699,0.707844,5.5,MIN_MAX_AVG,
"C63, C78-0C81",,Passives,Capacitors ,kg,kg,0.33,0.33,"capacitor production, electrolyte type, > 2cm height",Electrolytic,VISHAY BCCOMPONENTS,MAL205253471E3,+30% -10% 250V Radial Aluminum Capacitor Power Eurodin Printed Wiring(052 PED-PW Series),5,0.066,YES,,,,,,,,,EcoInvent,Input,In the datasheet it specifies that is electrolytic that is more than 2cm and the aproximated mass ,10,5,7,DATASHEET_QTY_KG,,66.0,,MISSING,
"D1,D2",TO-220-2-V,Discrete Semiconductors,Power,kg,kg,0.0038,0.0038,"transistor production, wired, small size, through-hole mounting",Schottky rectifier,ON SEMICONDUCTOR,MBR40250G,250V 40A Switch-Mode Schottky Power Rectifier,2,0.0019,YES,,,,,,,,,EcoInvent,Input,Mass data from: https://www.chipdip.am/product/mbr40250g-on-semiconductor-8002980390,12,6,8,DATASHEET_QTY_KG,,1.9,,MISSING,
"D3, D22",SOD-80C,Discrete Semiconductors,Small signal,kg,kg,3.748e-05,3.748e-05,"diode production, glass-, for through-hole mounting",Zener,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,2,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,,13,7,9,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
D4–D7,SOD-80C,Discrete Semiconductors,Small signal,kg,kg,7.496e-05,7.496e-05,"diode production, glass-, for surface-mounting",Zener,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,,14,7,9,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
"D8, D9, D16, D17, D20, D23-D26",SOT23-3,Discrete Semiconductors,Small signal,kg,kg,7.39125e-05,7.39125e-05,"diode production, glass-, for surface-mounting",Dual Diode,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,9,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,,15,8,10,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
D10-D13,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,3.285e-05,3.285e-05,"diode production, glass-, for surface-mounting",Switching,ON SEMICONDUCTOR,BAW56L,70V Dual Common Anode Switching Diodes,4,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,mass calculated from the casing,16,9,11,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"D14, D15, D18, D19",SOT23-3,Discrete Semiconductors,Small signal,kg,kg,3.285e-05,3.285e-05,"diode production, glass-, for surface-mounting",TVS,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,perfectly describes glass SMD diodes,17,10,12,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
D21,DO-214AA,Discrete Semiconductors,Small signal,kg,kg,0.000102937052,0.000102937052,"diode production, glass-, for surface-mounting",TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,,18,10,12,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,
IC1,,Modules,Sensors,kg,kg,0.01,0.01,"electronic component production, active, unspecified",Current transducer,LEM,LESR 25-NP,Current Transducer 25A,1,0.01,YES,,,,,,,,,EcoInvent,Input,"big aproximation, it contains active components mass: https://ch.farnell.com/en-CH/lem/lesr-25-np/current-sensor-voltage-85a-to/dp/3253159",19,11,13,DATASHEET_QTY_KG,,10.0,,MISSING,
IC9,DIP6 SMD,Modules,Hybrid relays,kg,kg,0.000427,0.000427,"electronic component production, active, unspecified",Solid State Relay,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,0.000427,YES,,,,,,,,,EcoInvent,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.,22,12,16,DATASHEET_QTY_KG,,0.427,,MISSING,
IC11,SOIC16,IC,Mixed signal,kg,kg,0.0001853125,0.0001853125,"integrated circuit production, logic type",Isolated Amplifier,Texas Instruments,AMC3330DWE,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",1,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,Input,logic IC. The function matches.,23,13,17,CALCULATED,0.06825,0.185313,1.25,MIN_MAX_AVG,
D15-D20,TO-247-2,Discrete Semiconductors,Power,kg,kg,0.03252,0.03252,"transistor production, wired, big size, through-hole mounting",Rectifier diode,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,0.00542,YES,,,,,,,,,EcoInvent,Input,Selected a transistor because the characteristics (materials and size) are more similar,26,14,18,DATASHEET_QTY_KG,,5.42,,MISSING,
"MOSFET_A1, MOSFET_A2, MOSFET_B1, MOSFET_B2, MOSFET_BC",TO-247-2,Discrete Semiconductors,Power,kg,kg,0.0271,0.0271,"transistor production, wired, big size, through-hole mounting",MOSFET,INFINEON,IRFP4768,250V 93A N-Channel HEXFET® Power MOSFET,5,0.00542,YES,,,,,,,,,EcoInvent,Input,"Same casing, similar materials than a transistor",27,15,19,DATASHEET_QTY_KG,,5.42,,MISSING,
REG1,D2PAK,IC,Analog,kg,kg,0.001566914694,0.001566914694,"integrated circuit production, logic type",Power Management,ST MICROELECTRONICS,L7805ABD2T-TR,5V 1.5A Positive Voltage Regulator,1,0.001566914694,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,Input,Mass info FROM PACKAGING,36,16,21,CALCULATED,0.479611755,1.566915,1.25,MIN_MAX_AVG,
REG2,D2PAK,IC,Analog,kg,kg,0.001566914694,0.001566914694,"integrated circuit production, logic type",Power Management,ST MICROELECTRONICS,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,0.001566914694,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,Input,Aproximated D2PAK/A dimmensions to D2PAK becuase of high similarity,37,16,21,CALCULATED,0.479611755,1.566915,1.25,MIN_MAX_AVG,
T1,SOT23-3,Discrete Semiconductors,small signal,kg,kg,8.2125e-06,8.2125e-06,"transistor production, surface-mounted",BJT,NEXPERIA,MMBT3904,40V 200mA NPN Switching Transistor,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,It is a small device and is SMD,38,17,22,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
T2-T6,SOT23-3,Discrete Semiconductors,small signal,kg,kg,3.285e-05,3.285e-05,"transistor production, surface-mounted",BJT,INFINEON,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",4,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,DATA FROM CASING,39,17,22,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
HS1-HS2,,Hardware,Thermal Management,kg,kg,0.002796,0.002796,"market for aluminium, primary + metal working, average for aluminium product manufacturing",Heatsink,FISCHER ELEKTRONIK,FFK 242 SA 220 O,TO-220 Heat Sink Rth: 26°C/W,2,0.001398,YES,,,,,,,,,EcoInvent,Input,"MASS FROM DATABASE, Aproximated as hardware",40,18,23,DATASHEET_QTY_KG,,1.398,,MISSING,
