Card,Designators,Section,Subsection,Category,Manufacturer,Part_Number,Ecoinvent_flow,Ecoinvent_unit,Total_quantity,Total_mass_kg,Direction,Comments
4Q_output_control_card,HS1-HS6,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 242 SA 220 O,"aluminium, primary, cast alloy slab from continuous casting+metal working, average for aluminium product manufacturing",kg,0.005592,0.005592,Input,"aluminium wrought alloy used in electric components, for the metal workking rest of the world. Mass from:https://www.tme.com/sg/zh/details/fk242sa220o/san-re-qi/fisc"
4Q_output_control_card,F2,Passives,Protection,Fuse,MERSEN/FERRAZ SHAWMUT,L080464,"electronic component, passive, unspecified",kg,0.0025,0.0025,Input,
4Q_output_power_card,PCB,PCB,,AUTO,Panel of 1,EDA-05281-V1,"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.02475,0.07623,Input,Bare board
4Q_output_power_card,"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",Electromechanical,Connectors,AUTO,WURTH,7460305,"brass + metal working, average for copper product manufacturing",kg,0.016,0.016,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk"
4Q_output_power_card,J3,Electromechanical,Connectors,AUTO,3M,N3429-6302RB,"electric connector production, wire clamp",kg,0.0211603712,0.0211603712,Input,Calculated because there were different mass values depending on the website
4Q_output_power_card,R1-R4,Passives,Resistors,AUTO,Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,"resistor, metal film type, through-hole mounting",kg,0.00044502,0.00044502,Input,"Volume calculated from area and density, THT"
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN628 Art.1241397,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.000234,0.000234,Input,IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,J3 screws,Hardware,Mounting hardware,AUTO,3M,3341-5,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.00126385,0.00126385,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN5687 Art.3061582 ,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,8e-05,8e-05,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,for Misc1,Hardware,Mounting hardware,AUTO,BOSSARD,BN670 Art.1253131,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,7e-05,7e-05,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL
4Q_output_power_card,THT_PROCESS,Assembly Processes,THT,AUTO,,,"mounting, through-hole technology, Pb-free solder",m2,0.02475,,Input,
4Q_output_power_card,C1-C6,Passives,Capacitors,Paper,KEMET,P272HE102M300A or PME271YA4100MR30,"capacitor production, film type, for through-hole mounting",kg,0.0031984875,0.0031984875,Input,It is the most similar to Impregnated Paper
4Q_output_power_card,"C7, C8, C20, C21",Passives,Capacitors,Paper,KEMET,P272QE103M300A or PME271YB5100MR30,"capacitor production, film type, for through-hole mounting",kg,0.00818181,0.00818181,Input,It is the most similar to Impregnated Paper
4Q_output_power_card,"C9, C10",Passives,Capacitors,Paper,KEMET,P272SJ473M300A or PME271YD5470MR30,"capacitor production, film type, for through-hole mounting",kg,0.0297432,0.0297432,Input,
4Q_output_power_card,"D1, D2",Discrete Semiconductors,Small signal,Zener,VISHAY GENERAL SEMICONDUCTOR,BZX55C12,"diode production, glass-, for through-hole mounting",kg,0.00025,0.00025,Input,", it is THT"
4Q_output_power_card,"DCCTA, DCCTB",Modules,Sensors,Current transducer,CAEN ELS,CT-26,can_els,kg,0.6,0.6,Input,Aproximated as the mexico converter 
4Q_output_power_card,"T1,T2",Discrete Semiconductors,Power,MOSFET,INFINEON,IRFP4768,"transistor production, wired, big size, through-hole mounting",kg,0.01084,0.01084,Input,COPY FROM CASING
4Q_output_power_card,Misc1 for DCCTA and DCCTB,Hardware,Mounting hardware,CERN,EDA-05281-V1_misc1,,"epoxy resin, liquid",kg,0.02536443,0.02536443,Input,"IT IS CALCULATED BASED ON THE VOLUME AND THE DENSITY OF EPOXY, THEN IS SELECTED THE LIQUID RESINE"
