Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Ecoinvent_amount_override,Database_component_title,Comments,Notes
"C13, C14",,Passives,Capacitors (unmounted),,WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),2,kg,0.044259749999999994,NO,20,39.5,41.5,32.785,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
C18,,Passives,Capacitors (unmounted),,WIMA,MKP4F044706F00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),1,kg,0.01658475,NO,15,26,31.5,12.285,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
C19,,Passives,Capacitors (unmounted),,TDK,B32653A6224J000,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),1,kg,0.0040068000000000005,NO,7,16,26.5,2.968,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
"C27–C43, C45–C54",1206,Passives,Capacitors (unmounted),,Generic,CC1206_100NF_50V_10%_X7R,"100 nF, ±10%, 50V, X7R, 1206",27,kg,5.6576e-05,NO,3.2,1.6,1.7,0.008704,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",
"R1–R4, R31, R35, R47, R48, R60",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",9,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
"R5–R9, R41, R44, R53, R56–R59",1206,Passives,Resistors,,Generic,R1206_47K_1%_0.25W_100PPM,"47 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",12,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
"R10, R11, R15–R30",1206,Passives,Resistors,,Generic,R1206_20R_1%_0.25W_100PPM,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",18,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
"R12, R49–R52",1206,Passives,Resistors,,Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",5,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
"R13, R14, R32, R36–R40, R42, R43",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
R33,1206,Passives,Resistors,,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
"R34, R45, R46, R54, R55",1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",5,kg,1.2249625000000004e-05,NO,3.2,1.6,0.55,0.0026427500000000006,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,0.105,The dataset explicitly represents surface‑mounted resistors.,
J1,,Passives,Connectors,,Wieland,25.161.0353.0,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",1,kg,0.0024559467200000002,NO,16.09,10.16,12,1.9616928,1.12,1.18,0.2,0,EcoInvent ,"electric connector production, wire clamp",kg,Input,,,Exact technological match: “wire clamp” directly describes the screw‑clamp connection.,
J2,,Passives,Connectors,,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.0026278800000000004,NO,20.3,13,8,2.1112,1.12,1.18,0.2,0,EcoInvent ,"electric connector production, peripheral type buss",kg,Input,,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function.,
J3,,Passives,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,0.009047160351999999,NO,40.74,8.6,17.4,6.0963335999999995,1.3,1.34,1,0,EcoInvent ,"electric connector production, peripheral component interconnect buss",kg,Input,,,"Best available proxy for a PCB‑mounted pin header; PCI connector is a pin‑based PCB connector, though not identical.",
PCB Terminal Test Pins,,Passives,Test PINs,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,kg,8e-05,YES,,,,0,,,,,EcoInvent ,"electronic component, passive, unspecified",kg,Input,,,Chossen passive generic because it includes thins kind of components and there is not another alternative.,
TR1,,Magnetics,Current sensing,,CERN,HCR6BFW,HF Current transformer,1,kg,0.0095,YES,,,,0,,,,,EcoInvent ,"transformer production, low voltage use",kg,Input,,,"The HCR6BFW is a high‑frequency current transformer, which falls under ""low voltage use"" . ",
J3 screws,,Accesaries,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,0.000631925,NO,,,,0.0805,7.8,7.9,0,0,EcoInvent ,"market for steel, low-alloyed + market for metal working, average for metal product manufacturing",kg,Input,,,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination",
SMD_PROCESS,,Assambly,,,,,Assambly SMD components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,,,
THT_PROCESS,,Assambly,,,,,Assambly THT components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,,,
