Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
F1,,Control and signal management,Protection,kg,kg,1.0018708e-05,"electronic component, passive, unspecified",AUTO,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,1.0018708e-05,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,Input,,,11,1,5,CALCULATED,0.005939784,0.010019,1.35,MIN_MAX_AVG,
"RL4, RL5",,Control and signal management,Protection,kg,kg,0.07,light emitting diode production,AUTO,OMRON ELECTRONIC,G2RL-24-DC24,"8A@250VAC, DPDT Power Relay, G2RL Series",2,0.035,YES,,,,,,,,,EcoInvent,Input,,,29,1,5,DATASHEET_QTY_KG,,35.0,,MISSING,
RL1-RL3,,Control and signal management,Protection,kg,kg,0.051,"transformer production, low voltage use",AUTO,OMRON ELECTRONIC,G2R-1A-E-DC24,"SPST-NO Power Relay, High-capacity, G2R-1A-E Series",3,0.017,YES,,,,,,,,,EcoInvent,Input,,Aproximated as a transformed. Correct procedure; create a flow from the EPD,31,1,5,DATASHEET_QTY_KG,,17.0,,MISSING,
IC1,DIP6 SMD,Control and signal management,ICs,kg,kg,0.000427,"electronic component production, active, unspecified",AUTO,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,0.000427,YES,,,,,,,,,EcoInvent,Input,0.1-0.12,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component. ",12,1,6,DATASHEET_QTY_KG,,0.427,,MISSING,
J1,,Passives,Connectors,kg,kg,0.00319,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00319,YES,,,,,,,,,EcoInvent,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,13,1,7,DATASHEET_QTY_KG,,3.19,,MISSING,
"J2,J4",,Passives,Connectors,kg,kg,0.003966,"electric connector production, peripheral type buss",AUTO,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,2,0.001983,YES,,,,,,,,,EcoInvent ,Input,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/,14,1,7,DATASHEET_QTY_KG,,1.983,,MISSING,
J3,,Passives,Connectors,kg,kg,0.00331,"electric connector production, wire clamp",AUTO,OSRAM,N2514-6003RB,14 Contacts Straight .100'' x .100'' Low Profile Four-Wall Header (Solder Tail 3.94mm) 2500 Series,1,0.00331,YES,,,,,,,,,EcoInvent,Input,,mass data: https://www.tme.com/ux/en-us/details/n2514-6003-rb/idc-connectors/3m/7100243253/,15,1,7,DATASHEET_QTY_KG,,3.31,,MISSING,
LD1,,Diodes and optoelectronics,Optoelectronics,kg,kg,0.035,light emitting diode production,AUTO,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,0.035,YES,,,,,,,,,EcoInvent,Input,,"Only LED‑specific option in your list. However, important limitations from the description: Represents a 5mm through‑hole LED. Default weight assumption: 0.35 g per LED (much larger than your 0.059 g SMD)",16,1,8,DATASHEET_QTY_KG,,35.0,,MISSING,
"R1-R6,R15-R19,R36-R46",1206,Passives,Resistors,kg,kg,0.000282832,"resistor production, surface-mounted",AUTO,GENERIC,R1206_270K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,22,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,17,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R7-R14, R20-R35,R47 > R62, R65 > R72,R76 > R83, R87 > R102, R106 > R121, R123 > R130, R135 > R142, R159 > R166, R179 > R186, R199 > R206, R223 > R230, R245 > R252",1206,Passives,Resistors,kg,kg,0.001851264,"resistor production, surface-mounted",AUTO,GENERIC,R1206_4K3_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,144,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,18,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R63,R75",1206,Passives,Resistors,kg,kg,2.5712e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_30K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,2,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,19,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R64, R74, R85, R86, R103,R221, R222",1206,Passives,Resistors,kg,kg,8.9992e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",7,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,20,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R73, R213, R214,R237, R238",1206,Passives,Resistors,kg,kg,6.428e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,5,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,21,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R84, R122, R131 > R134, R149, R150, R157, R158",1206,Passives,Resistors,kg,kg,0.00012856,"resistor production, surface-mounted",AUTO,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,22,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
R104,1206,Passives,Resistors,kg,kg,1.2856e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,23,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
R105,1206,Passives,Resistors,kg,kg,1.2856e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",1,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,24,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R143 > R148, R151 > R156,R167 > R178, R187 > R198,R207 > R212, R215 > R220, R231 > R236, R239 > R244, R253 > R258",1206,Passives,Resistors,kg,kg,0.000848496,"resistor production, surface-mounted",AUTO,GENERIC,R1206_33K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,66,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,25,1,9,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
RV1,,Passives,Resistors,kg,kg,0.005948,"varistor production, metal oxide",AUTO,EPCOS / TDK,B72220S0511K101 or S20K510,±10% 510VAC 1W SIOV Metal Oxide Varistor,1,0.005948,YES,,,,,,,,,EcoInvent,Input,,Mass data: https://www.tme.eu/en/details/b72220s0511k101/varistors-epcos-tdk/,26,1,9,DATASHEET_QTY_KG,,5.948,,MISSING,
T1,SOT23-3,Small signal transistors,Bipolar Transistors,Input,kg,8.2125e-06,kg,AUTO,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,EcoInvent,"transistor production, surface-mounted",,Specific for surface‑mounted transistors; matches SOT‑23 package.,Specific for surface‑mounted transistors; matches SOT‑23 package. Calculated by the density of the casing and adding metal to match average values from other compoents.,27,1,10,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"T2,T5",STD10NF10T4,Small signal transistors,MOSFET,kg,kg,0.0006558784,"transistor production, surface-mounted",AUTO,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,2,0.0003279392,NO,6.6,6.2,2.3,,,1.2,0.215,,EcoInvent,Input,,Specific for surface‑mounted transistors.,28,1,11,CALCULATED,0.094116,0.327939,1.2,MAX_ONLY,
"T3,T4",SOT23-3,Small signal transistors,MOSFET,Input,kg,4.9275e-05,kg,AUTO,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",6,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,EcoInvent,"transistor production, surface-mounted",Input,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.,30,1,11,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
HS1-HS6,,Passives,Thermal management,kg,kg,0.051,"transformer production, low voltage use",AUTO,OMRON ELECTRONIC,G2R-1A-E-DC24,"SPST-NO Power Relay, High-capacity, G2R-1A-E Series",3,0.017,YES,,,,,,,,,EcoInvent,Input,,Aproximated as a transformed. Correct procedure; create a flow from the EPD,32,1,12,DATASHEET_QTY_KG,,17.0,,MISSING,
